Multisizer 3,2017-5-12 10:50,,,
File name:,DD2016Ter_10_01.#m3,,,
Group ID:,DD2016Ter,,,
Sample ID:,10,,,
Control mode:,"Volumetric,  250  uL",,,
Acquired:,2017-5-12 10:49,,,
Size bins:,300,,,
From,1,,,
To,30,,,
Sizing threshold:,0.9995,,,
Total pulses:,7044,,,
Counting threshold:,0.9995,,,
Counts above threshold:,7044,,,
Coincidence corrected:,7092,,,
,,,,
Bin Number,,DD2016Ter_10,,
,Bin Diameter,_01.#m3,Diff.,Diff.
,(Lower),Diff.,Volume,Surface Area
,um,Number,um^3,um^2
170,6.79378,4,668.004,586.62
171,6.87124,7,1209.45,1050.13
172,6.94959,3,536.269,460.376
173,7.02883,3,554.823,470.935
174,7.10897,1,191.339,160.578
175,7.19002,2,395.918,328.522
176,7.272,4,819.231,672.112
177,7.35492,6,1271.36,1031.29
178,7.43878,2,438.449,351.647
179,7.52359,2,453.618,359.711
180,7.60938,4,938.623,735.922
181,7.69614,2,485.548,376.4
182,7.78389,1,251.173,192.516
183,7.87264,3,779.59,590.793
184,7.9624,1,268.854,201.447
185,8.05319,1,278.155,206.067
186,8.14501,2,575.557,421.586
187,8.23787,1,297.735,215.627
188,8.3318,3,924.107,661.718
189,8.4268,1,318.693,225.631
190,8.52288,1,329.719,230.806
191,8.62006,4,1364.5,944.395
192,8.71834,1,352.928,241.513
193,8.81775,2,730.276,494.104
194,8.91828,4,1511.08,1010.87
195,9.01997,2,781.681,517.028
196,9.12281,1,404.362,264.443
197,9.22683,3,1255.06,811.521
198,9.33203,2,865.651,553.422
199,9.43844,1,447.8,283.057
200,9.54605,2,926.586,579.097
201,9.65489,1,479.321,296.189
202,9.76498,0,0,0
203,9.87632,2,1026.12,619.86
204,9.98892,0,0,0
205,10.1028,1,549.176,324.309
206,10.218,0,0,0
207,10.3345,2,1175.67,678.709
208,10.4523,0,0,0
209,10.5715,3,1887.63,1065.29
210,10.6921,2,1301.96,726.484
211,10.814,0,0,0
212,10.9373,0,0,0
213,11.062,5,3604.55,1944.05
214,11.1881,0,0,0
215,11.3157,2,1543.31,813.698
216,11.4447,1,798.353,416.18
217,11.5752,2,1651.95,851.448
218,11.7071,0,0,0
219,11.8406,0,0,0
220,11.9756,0,0,0
221,12.1122,1,946.348,466.142
222,12.2503,0,0,0
223,12.39,0,0,0
224,12.5312,1,1048.01,498.954
225,12.6741,1,1084.27,510.397
226,12.8186,0,0,0
227,12.9648,0,0,0
228,13.1126,0,0,0
229,13.2621,0,0,0
230,13.4133,2,2570.53,1143.34
231,13.5662,0,0,0
232,13.7209,1,1375.73,598.192
233,13.8774,0,0,0
234,14.0356,0,0,0
235,14.1956,0,0,0
236,14.3575,0,0,0
237,14.5212,0,0,0
238,14.6868,0,0,0
239,14.8542,2,3491.1,1402.18
240,15.0236,0,0,0
241,15.1949,0,0,0
242,15.3681,1,1933.07,750.438
243,15.5433,0,0,0
244,15.7206,0,0,0
245,15.8998,0,0,0
246,16.0811,0,0,0
247,16.2645,0,0,0
248,16.4499,1,2370.68,859.805
249,16.6375,0,0,0
250,16.8272,0,0,0
251,17.019,0,0,0
252,17.2131,0,0,0
253,17.4093,0,0,0
254,17.6078,0,0,0
255,17.8086,0,0,0
256,18.0116,0,0,0
257,18.217,0,0,0
258,18.4247,0,0,0
259,18.6348,0,0,0
260,18.8473,0,0,0
261,19.0621,0,0,0
262,19.2795,0,0,0
263,19.4993,1,3948.59,1208.13
264,19.7216,0,0,0
265,19.9465,0,0,0
266,20.1739,0,0,0
267,20.4039,0,0,0
268,20.6366,0,0,0
269,20.8719,0,0,0
270,21.1099,0,0,0
271,21.3506,0,0,0
272,21.594,0,0,0
273,21.8402,0,0,0
274,22.0892,0,0,0
275,22.3411,0,0,0
276,22.5958,0,0,0
277,22.8534,0,0,0
278,23.114,0,0,0
279,23.3776,0,0,0
280,23.6441,0,0,0
281,23.9137,0,0,0
282,24.1863,0,0,0
283,24.4621,0,0,0
284,24.741,0,0,0
285,25.0231,0,0,0
286,25.3084,0,0,0
287,25.597,0,0,0
288,25.8888,0,0,0
289,26.184,0,0,0
290,26.4826,0,0,0
291,26.7845,0,0,0
292,27.0899,0,0,0
293,27.3988,0,0,0
294,27.7112,0,0,0
295,28.0271,0,0,0
296,28.3467,0,0,0
297,28.6699,0,0,0
298,28.9968,0,0,0
299,29.3274,0,0,0
300,29.6618,0,0,0
,30,,,
